epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,17275.2,1.45278,0.81455,1.40411,0.93249,0.90779,0.96191,0.579,1.33641,0.64707,1.31051,0.00968914,0.00968914,0.00968914
159,17406.7,1.40957,0.79958,1.39065,0.93135,0.89501,0.95636,0.57957,1.32218,0.65,1.29756,0.00968716,0.00968716,0.00968716
160,17538.3,1.45461,0.83953,1.40537,0.92182,0.89616,0.95703,0.57899,1.32907,0.65461,1.29832,0.00968518,0.00968518,0.00968518
161,17670,1.42814,0.80182,1.37457,0.9323,0.89535,0.9586,0.57269,1.35086,0.66082,1.30338,0.0096832,0.0096832,0.0096832
162,17801.5,1.38391,0.76878,1.36322,0.93629,0.90209,0.95878,0.57791,1.32329,0.63862,1.29348,0.00968122,0.00968122,0.00968122
163,17933,1.44362,0.81063,1.40242,0.93561,0.90529,0.96123,0.58732,1.2967,0.63843,1.28507,0.00967924,0.00967924,0.00967924
164,18064.7,1.42781,0.8023,1.38539,0.93007,0.90192,0.96018,0.59119,1.2991,0.63472,1.28583,0.00967726,0.00967726,0.00967726
165,18196.1,1.43207,0.80862,1.3895,0.93804,0.89569,0.95822,0.5912,1.29059,0.63634,1.2814,0.00967528,0.00967528,0.00967528
166,18327.5,1.42707,0.81026,1.3874,0.93806,0.89484,0.95864,0.59507,1.28184,0.62552,1.27125,0.0096733,0.0096733,0.0096733
167,18459.1,1.40857,0.79393,1.35692,0.93454,0.89978,0.96089,0.59611,1.28181,0.62334,1.26983,0.00967132,0.00967132,0.00967132
168,18590.8,1.38147,0.78768,1.37068,0.93526,0.89535,0.95916,0.59591,1.28326,0.6249,1.26983,0.00966934,0.00966934,0.00966934
169,18722.3,1.39877,0.78691,1.36564,0.93312,0.89824,0.95926,0.59678,1.28842,0.62239,1.27525,0.00966736,0.00966736,0.00966736
170,18853.7,1.38886,0.78691,1.3601,0.93356,0.9031,0.96071,0.5973,1.27741,0.62724,1.27681,0.00966538,0.00966538,0.00966538
171,18985.4,1.37548,0.7665,1.36847,0.93246,0.90226,0.96025,0.60036,1.2766,0.62061,1.2723,0.0096634,0.0096634,0.0096634
172,19117.1,1.38885,0.80539,1.36846,0.92805,0.90206,0.95884,0.59808,1.27425,0.64007,1.2705,0.00966142,0.00966142,0.00966142
173,19249.1,1.41045,0.8061,1.37594,0.92724,0.88909,0.95431,0.59006,1.28735,0.64774,1.27723,0.00965944,0.00965944,0.00965944
174,19380.6,1.37123,0.82,1.37487,0.92864,0.89737,0.95702,0.58505,1.28363,0.63432,1.27245,0.00965746,0.00965746,0.00965746
175,19512.3,1.41992,0.80207,1.3757,0.93117,0.89597,0.95648,0.58836,1.28506,0.63782,1.27864,0.00965548,0.00965548,0.00965548
176,19643.7,1.40234,0.78916,1.36524,0.92862,0.90331,0.95724,0.60087,1.28058,0.63496,1.27354,0.0096535,0.0096535,0.0096535
177,19775.5,1.44061,0.79305,1.37953,0.93071,0.91102,0.96169,0.60228,1.27097,0.63068,1.27472,0.00965152,0.00965152,0.00965152
178,19907.2,1.4127,0.83469,1.3677,0.92878,0.90411,0.95966,0.60175,1.27476,0.64344,1.27895,0.00964954,0.00964954,0.00964954
